G_ID,AGE_GROUP,BMI_GROUP,TEST_SEX,CERT_GROUP
0,10세 미만,저체중,M,상
1,10세 미만,저체중,M,중
2,10세 미만,저체중,M,하
3,10세 미만,저체중,F,상
4,10세 미만,저체중,F,중
5,10세 미만,저체중,F,하
6,10세 미만,정상체중,M,상
7,10세 미만,정상체중,M,중
8,10세 미만,정상체중,M,하
9,10세 미만,정상체중,F,상
10,10세 미만,정상체중,F,중
11,10세 미만,정상체중,F,하
12,10세 미만,비만전단계,M,상
13,10세 미만,비만전단계,M,중
14,10세 미만,비만전단계,M,하
15,10세 미만,비만전단계,F,상
16,10세 미만,비만전단계,F,중
17,10세 미만,비만전단계,F,하
18,10세 미만,1단계비만,M,상
19,10세 미만,1단계비만,M,중
20,10세 미만,1단계비만,M,하
21,10세 미만,1단계비만,F,상
22,10세 미만,1단계비만,F,중
23,10세 미만,1단계비만,F,하
24,10세 미만,2단계비만,M,상
25,10세 미만,2단계비만,M,중
26,10세 미만,2단계비만,M,하
27,10세 미만,2단계비만,F,상
28,10세 미만,2단계비만,F,중
29,10세 미만,2단계비만,F,하
30,10세 미만,3단계비만,M,상
31,10세 미만,3단계비만,M,중
32,10세 미만,3단계비만,M,하
33,10세 미만,3단계비만,F,상
34,10세 미만,3단계비만,F,중
35,10세 미만,3단계비만,F,하
36,10대,저체중,M,상
37,10대,저체중,M,중
38,10대,저체중,M,하
39,10대,저체중,F,상
40,10대,저체중,F,중
41,10대,저체중,F,하
42,10대,정상체중,M,상
43,10대,정상체중,M,중
44,10대,정상체중,M,하
45,10대,정상체중,F,상
46,10대,정상체중,F,중
47,10대,정상체중,F,하
48,10대,비만전단계,M,상
49,10대,비만전단계,M,중
50,10대,비만전단계,M,하
51,10대,비만전단계,F,상
52,10대,비만전단계,F,중
53,10대,비만전단계,F,하
54,10대,1단계비만,M,상
55,10대,1단계비만,M,중
56,10대,1단계비만,M,하
57,10대,1단계비만,F,상
58,10대,1단계비만,F,중
59,10대,1단계비만,F,하
60,10대,2단계비만,M,상
61,10대,2단계비만,M,중
62,10대,2단계비만,M,하
63,10대,2단계비만,F,상
64,10대,2단계비만,F,중
65,10대,2단계비만,F,하
66,10대,3단계비만,M,상
67,10대,3단계비만,M,중
68,10대,3단계비만,M,하
69,10대,3단계비만,F,상
70,10대,3단계비만,F,중
71,10대,3단계비만,F,하
72,20대,저체중,M,상
73,20대,저체중,M,중
74,20대,저체중,M,하
75,20대,저체중,F,상
76,20대,저체중,F,중
77,20대,저체중,F,하
78,20대,정상체중,M,상
79,20대,정상체중,M,중
80,20대,정상체중,M,하
81,20대,정상체중,F,상
82,20대,정상체중,F,중
83,20대,정상체중,F,하
84,20대,비만전단계,M,상
85,20대,비만전단계,M,중
86,20대,비만전단계,M,하
87,20대,비만전단계,F,상
88,20대,비만전단계,F,중
89,20대,비만전단계,F,하
90,20대,1단계비만,M,상
91,20대,1단계비만,M,중
92,20대,1단계비만,M,하
93,20대,1단계비만,F,상
94,20대,1단계비만,F,중
95,20대,1단계비만,F,하
96,20대,2단계비만,M,상
97,20대,2단계비만,M,중
98,20대,2단계비만,M,하
99,20대,2단계비만,F,상
100,20대,2단계비만,F,중
101,20대,2단계비만,F,하
102,20대,3단계비만,M,상
103,20대,3단계비만,M,중
104,20대,3단계비만,M,하
105,20대,3단계비만,F,상
106,20대,3단계비만,F,중
107,20대,3단계비만,F,하
108,30대,저체중,M,상
109,30대,저체중,M,중
110,30대,저체중,M,하
111,30대,저체중,F,상
112,30대,저체중,F,중
113,30대,저체중,F,하
114,30대,정상체중,M,상
115,30대,정상체중,M,중
116,30대,정상체중,M,하
117,30대,정상체중,F,상
118,30대,정상체중,F,중
119,30대,정상체중,F,하
120,30대,비만전단계,M,상
121,30대,비만전단계,M,중
122,30대,비만전단계,M,하
123,30대,비만전단계,F,상
124,30대,비만전단계,F,중
125,30대,비만전단계,F,하
126,30대,1단계비만,M,상
127,30대,1단계비만,M,중
128,30대,1단계비만,M,하
129,30대,1단계비만,F,상
130,30대,1단계비만,F,중
131,30대,1단계비만,F,하
132,30대,2단계비만,M,상
133,30대,2단계비만,M,중
134,30대,2단계비만,M,하
135,30대,2단계비만,F,상
136,30대,2단계비만,F,중
137,30대,2단계비만,F,하
138,30대,3단계비만,M,상
139,30대,3단계비만,M,중
140,30대,3단계비만,M,하
141,30대,3단계비만,F,상
142,30대,3단계비만,F,중
143,30대,3단계비만,F,하
144,40대,저체중,M,상
145,40대,저체중,M,중
146,40대,저체중,M,하
147,40대,저체중,F,상
148,40대,저체중,F,중
149,40대,저체중,F,하
150,40대,정상체중,M,상
151,40대,정상체중,M,중
152,40대,정상체중,M,하
153,40대,정상체중,F,상
154,40대,정상체중,F,중
155,40대,정상체중,F,하
156,40대,비만전단계,M,상
157,40대,비만전단계,M,중
158,40대,비만전단계,M,하
159,40대,비만전단계,F,상
160,40대,비만전단계,F,중
161,40대,비만전단계,F,하
162,40대,1단계비만,M,상
163,40대,1단계비만,M,중
164,40대,1단계비만,M,하
165,40대,1단계비만,F,상
166,40대,1단계비만,F,중
167,40대,1단계비만,F,하
168,40대,2단계비만,M,상
169,40대,2단계비만,M,중
170,40대,2단계비만,M,하
171,40대,2단계비만,F,상
172,40대,2단계비만,F,중
173,40대,2단계비만,F,하
174,40대,3단계비만,M,상
175,40대,3단계비만,M,중
176,40대,3단계비만,M,하
177,40대,3단계비만,F,상
178,40대,3단계비만,F,중
179,40대,3단계비만,F,하
180,50대,저체중,M,상
181,50대,저체중,M,중
182,50대,저체중,M,하
183,50대,저체중,F,상
184,50대,저체중,F,중
185,50대,저체중,F,하
186,50대,정상체중,M,상
187,50대,정상체중,M,중
188,50대,정상체중,M,하
189,50대,정상체중,F,상
190,50대,정상체중,F,중
191,50대,정상체중,F,하
192,50대,비만전단계,M,상
193,50대,비만전단계,M,중
194,50대,비만전단계,M,하
195,50대,비만전단계,F,상
196,50대,비만전단계,F,중
197,50대,비만전단계,F,하
198,50대,1단계비만,M,상
199,50대,1단계비만,M,중
200,50대,1단계비만,M,하
201,50대,1단계비만,F,상
202,50대,1단계비만,F,중
203,50대,1단계비만,F,하
204,50대,2단계비만,M,상
205,50대,2단계비만,M,중
206,50대,2단계비만,M,하
207,50대,2단계비만,F,상
208,50대,2단계비만,F,중
209,50대,2단계비만,F,하
210,50대,3단계비만,M,상
211,50대,3단계비만,M,중
212,50대,3단계비만,M,하
213,50대,3단계비만,F,상
214,50대,3단계비만,F,중
215,50대,3단계비만,F,하
216,60대,저체중,M,상
217,60대,저체중,M,중
218,60대,저체중,M,하
219,60대,저체중,F,상
220,60대,저체중,F,중
221,60대,저체중,F,하
222,60대,정상체중,M,상
223,60대,정상체중,M,중
224,60대,정상체중,M,하
225,60대,정상체중,F,상
226,60대,정상체중,F,중
227,60대,정상체중,F,하
228,60대,비만전단계,M,상
229,60대,비만전단계,M,중
230,60대,비만전단계,M,하
231,60대,비만전단계,F,상
232,60대,비만전단계,F,중
233,60대,비만전단계,F,하
234,60대,1단계비만,M,상
235,60대,1단계비만,M,중
236,60대,1단계비만,M,하
237,60대,1단계비만,F,상
238,60대,1단계비만,F,중
239,60대,1단계비만,F,하
240,60대,2단계비만,M,상
241,60대,2단계비만,M,중
242,60대,2단계비만,M,하
243,60대,2단계비만,F,상
244,60대,2단계비만,F,중
245,60대,2단계비만,F,하
246,60대,3단계비만,M,상
247,60대,3단계비만,M,중
248,60대,3단계비만,M,하
249,60대,3단계비만,F,상
250,60대,3단계비만,F,중
251,60대,3단계비만,F,하
252,70대 이상,저체중,M,상
253,70대 이상,저체중,M,중
254,70대 이상,저체중,M,하
255,70대 이상,저체중,F,상
256,70대 이상,저체중,F,중
257,70대 이상,저체중,F,하
258,70대 이상,정상체중,M,상
259,70대 이상,정상체중,M,중
260,70대 이상,정상체중,M,하
261,70대 이상,정상체중,F,상
262,70대 이상,정상체중,F,중
263,70대 이상,정상체중,F,하
264,70대 이상,비만전단계,M,상
265,70대 이상,비만전단계,M,중
266,70대 이상,비만전단계,M,하
267,70대 이상,비만전단계,F,상
268,70대 이상,비만전단계,F,중
269,70대 이상,비만전단계,F,하
270,70대 이상,1단계비만,M,상
271,70대 이상,1단계비만,M,중
272,70대 이상,1단계비만,M,하
273,70대 이상,1단계비만,F,상
274,70대 이상,1단계비만,F,중
275,70대 이상,1단계비만,F,하
276,70대 이상,2단계비만,M,상
277,70대 이상,2단계비만,M,중
278,70대 이상,2단계비만,M,하
279,70대 이상,2단계비만,F,상
280,70대 이상,2단계비만,F,중
281,70대 이상,2단계비만,F,하
282,70대 이상,3단계비만,M,상
283,70대 이상,3단계비만,M,중
284,70대 이상,3단계비만,M,하
285,70대 이상,3단계비만,F,상
286,70대 이상,3단계비만,F,중
287,70대 이상,3단계비만,F,하
