TEST_AGE,CERT_GBN,TEST_SEX,ITEM_F001,ITEM_F002
25,하,M,167.3,46.98
19,하,M,179.0,84.0
19,하,M,171.5,95.6
20,하,F,158.4,43.84
53,하,M,173.4,73.4
24,하,M,171.9,58.2
58,하,M,168.8,72.9
56,하,F,155.8,50.36
21,하,M,183.4,79.76
20,하,F,159.4,66.64
20,하,M,189.1,90.0
20,하,F,163.0,52.64
25,하,M,169.2,67.6
40,하,F,156.5,51.36
23,하,M,161.0,76.3
20,하,F,159.0,56.4
20,하,M,168.3,89.5
28,하,F,162.5,52.3
19,하,M,169.9,70.2
26,하,M,168.2,61.34
26,하,M,170.6,66.28
25,하,M,173.8,80.14
75,하,F,158.0,61.82
58,하,M,164.6,58.18
22,하,M,162.6,54.92
36,하,F,162.6,54.84
32,하,M,178.1,75.2
33,하,M,173.3,77.9
43,하,F,156.9,52.5
56,하,M,164.3,67.9
54,하,F,153.5,54.9
34,중,F,163.7,57.3
19,하,M,176.0,60.2
20,하,M,171.0,83.7
19,하,M,182.0,112.5
19,하,M,177.5,72.7
19,하,M,175.2,84.6
13,하,M,154.2,55.9
73,하,F,149.6,61.6
59,하,F,155.3,54.9
70,하,F,141.4,57.0
20,하,M,185.3,73.58
23,하,M,182.5,69.4
33,하,F,163.0,53.3
35,하,M,171.2,78.4
15,하,M,166.8,60.0
15,하,M,160.8,56.0
15,하,M,169.3,65.8
15,상,M,170.5,56.5
15,하,M,166.9,55.9
15,하,M,159.6,48.8
15,하,F,165.2,52.3
15,하,F,159.0,44.6
13,하,F,163.2,64.8
15,하,M,175.7,67.2
53,중,F,146.8,45.6
13,하,M,171.1,61.9
18,하,M,184.0,65.0
77,하,M,170.9,79.2
19,하,M,182.0,76.1
19,하,M,184.0,81.0
36,하,F,166.7,66.0
19,하,F,146.3,50.82
35,상,M,189.0,83.12
19,하,M,177.0,85.3
68,하,F,153.5,55.2
25,하,M,170.6,88.48
72,중,F,149.4,45.2
30,중,F,161.0,53.0
47,상,F,169.0,63.8
49,하,F,161.4,66.4
34,하,M,176.7,75.04
20,하,M,166.1,55.42
46,하,M,172.8,77.5
47,중,M,167.6,68.1
33,하,M,175.4,73.28
23,하,M,174.1,72.4
29,하,M,172.7,78.3
51,하,M,172.9,78.1
63,하,F,157.0,70.8
23,하,F,162.3,54.74
24,하,M,169.8,65.4
58,하,M,170.0,79.56
40,하,M,161.3,66.84
21,하,M,176.1,65.6
29,하,M,173.4,64.82
29,하,M,175.1,86.16
68,중,F,155.4,59.04
20,하,F,157.3,89.4
25,하,M,182.0,87.9
88,하,F,150.0,49.9
21,하,M,174.0,70.3
72,중,M,164.4,73.78
61,하,M,182.1,73.68
40,하,M,166.1,66.1
37,하,F,162.3,59.02
34,하,M,163.4,74.88
26,하,F,164.8,74.76
20,하,M,176.5,78.6
20,하,M,173.1,81.8
53,하,F,155.0,59.0
20,하,F,160.1,48.0
55,상,F,153.8,51.6
31,하,F,157.6,71.3
24,하,F,157.6,46.72
76,하,M,157.5,60.62
67,하,F,149.8,45.1
19,하,M,171.2,68.8
19,하,M,177.6,64.8
19,하,M,167.1,54.8
30,하,M,177.5,86.88
59,하,M,181.5,71.8
47,하,F,157.9,75.8
54,하,F,156.8,59.7
30,하,M,183.0,84.04
55,하,F,154.6,78.06
35,하,F,165.2,78.3
55,하,F,154.7,55.58
60,하,F,161.0,66.36
41,하,M,166.2,71.58
67,하,M,180.0,78.84
19,하,M,169.8,72.38
22,하,M,178.0,73.52
48,하,M,175.9,74.32
22,하,M,179.4,77.68
22,하,M,178.8,64.54
24,하,M,186.1,75.32
22,하,M,173.0,61.36
24,하,M,168.1,63.76
43,하,M,174.4,71.36
26,하,F,164.6,60.12
13,하,F,164.5,58.2
14,하,M,179.5,54.1
80,하,F,153.0,59.7
59,하,F,154.8,57.34
54,하,M,170.0,76.34
56,하,F,152.7,53.72
55,하,F,152.0,57.6
61,중,F,152.8,49.0
23,하,M,179.0,79.0
31,하,F,169.0,50.0
64,하,F,147.5,56.3
25,하,M,173.4,73.3
36,하,F,158.1,55.1
20,하,M,175.0,70.7
21,하,M,175.0,59.6
36,하,F,156.0,52.7
21,중,M,173.0,64.9
20,하,M,178.0,71.6
71,하,F,153.5,62.62
57,하,F,152.4,71.9
61,중,F,141.4,44.42
29,상,M,178.0,72.1
36,하,M,182.8,94.4
68,하,F,151.0,52.1
39,하,M,170.2,87.0
74,중,M,170.0,62.0
27,중,F,165.0,57.8
77,하,F,155.0,63.4
68,중,M,165.4,63.83
21,하,F,160.0,52.8
80,상,M,172.3,68.2
20,상,F,159.5,46.78
47,하,F,151.5,51.3
70,하,F,159.7,59.5
37,하,F,156.1,69.42
61,하,F,157.2,47.8
45,하,M,172.9,90.2
35,하,M,170.3,77.6
41,하,F,160.7,55.5
52,하,F,155.0,56.1
66,중,F,156.5,54.6
19,하,M,175.0,71.6
57,하,F,164.0,68.0
31,중,F,166.0,60.0
76,하,M,176.0,61.1
74,하,F,150.0,59.3
52,상,M,168.7,50.32
51,하,F,156.6,81.3
68,하,M,166.0,69.4
21,상,F,156.0,50.0
23,중,M,163.0,61.0
23,하,M,176.0,75.4
23,하,M,165.6,63.1
66,중,F,150.7,52.8
54,중,F,151.1,48.2
71,하,F,148.3,53.8
39,하,F,167.1,66.1
52,하,F,153.0,51.7
55,중,F,162.0,58.46
55,하,F,161.0,55.0
67,하,F,162.8,66.8
65,하,F,155.0,53.9
21,하,M,180.0,72.0
20,하,M,173.0,61.4
74,하,M,175.0,81.7
20,하,M,191.0,81.1
18,하,F,155.8,44.0
15,하,M,173.2,65.7
17,하,F,164.4,57.8
15,하,F,161.6,61.2
17,중,M,164.6,51.5
17,하,F,151.9,45.6
13,하,M,151.0,49.2
60,하,F,156.8,59.6
68,하,F,153.5,72.2
63,하,F,162.7,56.6
56,중,F,155.7,52.16
52,하,F,160.5,70.88
69,하,M,171.8,73.36
24,하,F,159.5,43.5
71,하,F,156.9,56.32
58,하,M,164.6,74.66
68,중,F,160.2,63.0
25,하,F,161.0,60.0
75,중,F,140.0,45.7
63,하,M,166.3,61.1
49,하,F,166.5,56.9
74,하,F,150.5,76.3
46,상,F,159.4,57.0
51,중,M,170.0,67.6
70,중,M,163.6,59.9
67,중,F,152.0,57.8
66,하,F,157.0,47.9
56,하,F,158.0,58.2
54,하,F,157.0,56.7
54,상,F,154.8,46.9
48,하,F,165.3,65.6
56,하,F,143.0,42.7
57,하,F,153.7,63.1
23,하,F,160.6,53.6
31,하,F,155.4,56.5
70,중,F,157.5,62.8
16,하,M,178.3,72.5
72,하,M,162.5,73.52
80,상,M,167.4,70.25
74,하,F,161.0,57.0
31,하,M,183.7,109.9
55,하,M,172.5,77.68
68,하,F,157.0,68.1
74,하,F,156.0,63.9
57,하,F,165.6,69.22
64,하,F,154.0,52.1
66,상,F,160.2,55.38
54,하,F,159.0,69.5
19,하,F,167.7,77.44
69,하,F,154.0,64.8
73,하,M,161.0,54.3
53,하,M,171.2,67.7
52,중,F,150.3,43.66
24,하,F,162.0,52.88
26,하,F,164.1,56.7
41,하,F,161.2,44.6
44,하,F,166.5,48.8
45,하,M,167.3,57.6
45,상,F,164.9,66.0
26,하,F,158.8,60.8
57,중,M,167.5,68.9
42,하,F,164.9,66.0
38,하,F,163.3,69.8
35,하,F,161.9,50.2
15,하,M,162.4,57.0
13,하,F,155.9,46.9
15,하,F,157.0,59.0
18,하,F,152.2,46.2
66,하,F,158.0,53.1
44,하,M,168.0,78.0
53,하,F,156.0,54.1
52,하,F,155.0,58.0
61,중,F,156.0,57.7
62,하,F,161.0,65.6
31,하,M,174.0,65.4
88,하,F,130.0,55.9
88,중,M,162.7,47.8
63,하,M,163.7,68.6
72,하,F,151.8,58.2
72,하,M,167.0,66.8
58,하,M,169.0,75.58
71,하,M,163.0,65.0
60,중,F,166.0,61.3
67,하,F,153.0,58.6
62,하,F,156.0,59.5
76,중,F,145.0,49.9
54,하,F,148.0,51.2
64,하,F,145.0,49.3
65,하,F,149.0,57.8
65,하,F,152.0,61.1
72,하,F,157.0,54.4
13,하,M,156.0,56.5
13,중,F,156.0,41.9
13,하,M,156.0,46.8
38,하,F,167.0,56.7
55,하,F,154.0,62.6
56,하,F,154.9,61.24
14,하,F,166.6,72.92
63,하,F,156.1,59.5
64,하,F,152.7,61.8
56,하,F,162.7,68.9
49,중,F,161.6,64.7
64,하,F,146.0,49.5
59,하,F,161.5,67.7
46,하,F,160.3,65.18
54,하,F,163.5,55.38
62,하,F,153.1,64.9
